variable,category,columnname,unit,dataset,station,min,max,comments
Temperature Air,Tair,Tair_(height in cm),Degree C,all,Bayelva,-50,40,
Precipitation,prec,prec,mm,all,Bayelva,0,30,
Relative humidity,RH,RH_(height in cm),%,all,Bayelva,0,110,
Snow depth,Dsn,Dsn,m,all,Bayelva,-0.1,1.4,
Radiation net all,RadNet,RadNet,W/m^2,all,Bayelva,-300,1000,
Radiation short wave in,SwIn,SwIn,W/m^2,all,Bayelva,-10,1000,
Radiation short wave out,SwOut,SwOut,W/m^2,all,Bayelva,-10,1000,
Radiation long wave in,LwIn,LwIn,W/m^2,all,Bayelva,90,620,equals temperatures
Radiation long wave out,LwOut,LwOut,W/m^2,all,Bayelva,140,620,equals top soil temperatures
Wind speed,windv,windv_(height in cm),m/s,all,Bayelva,0,30,
Wind direction,winddeg,winddeg_(height in cm),Degree,all,Bayelva,0,360,
Wind direction standard deviation,windsddeg,windsddeg_(height in cm),Degree,all,Bayelva,0,360,
Temperature Soil,Ts,Ts_(depth in cm),Degree C,all,Bayelva,-30,30,
Volumetric water content,vwc,vwc_(depth in cm),%,all,Bayelva,0,1,
Electric conductivity,cond,cond_(depth in cm),S/m,all,Bayelva,0,0.1,
Dielectricity,E2,E2_(depth in cm),,all,Bayelva,2.5,45, 1: minimum=vakuum~air; 2-4 ~ ice; 80 ~ water
Dielectricity snow,E2sn,E2sn_(depth in cm),,all,Bayelva,0.95,40,Why different than E2?
Soil heat flux,G,G,W/m^2,all,Bayelva,-130,130,
Radiation shortwave net,SwNet,SwNet,W/m^2,all,Bayelva,-10,1000,
Radiation longwave net,LwNet,LwNet,W/m^2,all,Bayelva,-300,300,
Radiation Albedo,Albedo,Albedo,,all,Bayelva,0,1,
Distance temperature correction,distcor,distcor,m,all,Bayelva,0.01,2.5,
Counts Gamma radiation K,CountsK,CountsK,,all,Bayelva,50000,660000,Recommended ranges for Potassium Gamma counts: p. 21 cs725_cs_manual_v20120801.pdf
Counts Gamma radiation TL,CountsTl,CountsTl,,all,Bayelva,12000,120000,Recommended ranges for Thallium Gamma counts: p. 22 cs725_cs_manual_v20120801.pdf
Snow water equivalent,SWE,SWE,mm,all,Bayelva,0,600,
Operating temperature crystal ,Tcryst,Tcryst,Degree C,all,Bayelva,-40,40,"Operating Temperature in Degree C p. 2 cs725_cs_manual_v20120801.pdf | page 29 in campbell_scientific:cs725_cs_manual_v20120801.pdf ""The CS725 uses a thallium doped sodium iodide crystal NaI(Tl) for detecting the gamma radiation""."
Ratio of K and TL,KTl,KTl,,all,Bayelva,0,600,Ratio of Potassium and Thallium counts. 
Snow density calc. SWE_K,rho,rho_K,,all,Bayelva,0,1,
