YEAR,LDaySnow,Dsn_0,Dsn_1,Dsn_2,Dsn_3,Dsn_4,Dsn_5,Dsn_6,Dsn_7,Dsn_8,Dsn_9,ex1,ex2
2011,2011-09-15 00:00,1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 0, 0
2012,2012-10-01 00:00,1.335, 1.360, 1.417, 1.000, 1.262, 1.185, 1.361, 1.204, 1.341, 1.000, 0, 0
2013,2013-09-18 00:00,1.339, 1.361, 1.417, 1.327, 1.252, 1.188, 1.365, 1.207, 1.355, 1.421, 0, 0
2014,2014-09-26 00:00,1.337, 1.355, 1.425, 1.328, 1.254, 1.204, 1.368, 1.228, 1.374, 1.417, 0, 0
2015,2015-09-21 00:00,1.273, 1.329, 1.404, 1.322, 1.259, 1.218, 1.377, 1.236, 1.375, 1.406, 0, 0
2016,2016-09-24 00:00,1.322, 1.362, 1.415, 1.350, 1.304, 1.237, 1.361, 1.245, 1.394, 1.443, 0, 0
2017,2017-09-30 00:00,1.339, 1.372, 1.393, 1.351, 1.292, 1.243, 1.420, 1.253, 1.380, 1.435, 0, 0
2018,2018-09-30 00:00,1.341, 1.384, 1.415, 1.351, 1.323, 1.273, 1.440, 1.288, 1.378, 1.425, 0, 0
2019,2019-09-29 00:00,1.316, 1.374, 1.456, 1.385, 1.310, 1.266, 1.429, 1.297, 1.428, 1.429, 0, 0
2020,2020-09-29 00:00,1.000, 1.000, 1.000, 1.000, 1.413, 1.319, 1.441, 1.321, 1.359, 1.447, 0, 0
2021,2021-09-29 00:00,1.316, 1.374, 1.456, 1.385, 1.310, 1.266, 1.429, 1.297, 1.428, 1.429, 0, 0
2022,2022-09-29 00:00,1.316, 1.374, 1.456, 1.385, 1.310, 1.266, 1.429, 1.297, 1.428, 1.429, 0, 0
2023,2023-09-29 00:00,1.316, 1.374, 1.456, 1.385, 1.310, 1.266, 1.429, 1.297, 1.428, 1.429, 0, 0
2024,2024-09-29 00:00,1.316, 1.374, 1.456, 1.385, 1.310, 1.266, 1.429, 1.297, 1.428, 1.429, 0, 0
2025,2025-09-29 00:00,1.316, 1.374, 1.456, 1.385, 1.310, 1.266, 1.429, 1.297, 1.428, 1.429, 0, 0

