YEAR,LDaySnow,Dsn_0,Dsn_1,Dsn_2,Dsn_3,Dsn_4,Dsn_5,Dsn_6,Dsn_7,Dsn_8,Dsn_9,ex1,ex2
2011,2011-09-15 00:00,1.345, 1.370, 1.420, 1.33, 1.265, 1.185, 1.365, 1.205, 1.345, 1.42, 0, 0
2012,2012-10-01 00:00,1.345, 1.370, 1.420, 1.33, 1.265, 1.185, 1.365, 1.205, 1.345, 1.42, 0, 0
2013,2013-09-18 00:00,1.340, 1.360, 1.415, 1.330, 1.265, 1.190, 1.365, 1.205, 1.355, 1.420, 0, 0
2014,2014-09-26 00:00,1.340, 1.360, 1.425, 1.330, 1.265, 1.205, 1.370, 1.228, 1.370, 1.420, 0, 0
2015,2015-09-21 00:00,1.340, 1.360, 1.425, 1.330, 1.265, 1.218, 1.375, 1.235, 1.370, 1.420, 0, 0
2016,2016-09-24 00:00,1.340, 1.360, 1.425, 1.350, 1.290, 1.238, 1.375, 1.248, 1.400, 1.440, 0, 0
2017,2017-09-30 00:00,1.340, 1.360, 1.425, 1.350, 1.290, 1.245, 1.418, 1.255, 1.400, 1.430, 0, 0
2018,2018-09-30 00:00,1.345, 1.395, 1.465, 1.380, 1.330, 1.270, 1.440, 1.288, 1.400, 1.430, 0, 0
2019,2019-09-29 00:00,1.365, 1.395, 1.490, 1.420, 1.350, 1.305, 1.450, 1.300, 1.400, 1.450, 0, 0
2020,2020-09-29 00:00,1.365, 1.395, 1.490, 1.445, 1.410, 1.320, 1.450, 1.320, 1.360, 1.450, 0, 0
2021,2021-09-29 00:00,1.365, 1.395, 1.490, 1.420, 1.410, 1.320, 1.450, 1.320, 1.360, 1.450, 0, 0
2022,2022-09-29 00:00,1.365, 1.395, 1.490, 1.420, 1.410, 1.320, 1.450, 1.320, 1.360, 1.450, 0, 0
2023,2023-09-29 00:00,1.365, 1.395, 1.490, 1.420, 1.410, 1.320, 1.450, 1.320, 1.360, 1.450, 0, 0
2024,2024-09-29 00:00,1.365, 1.395, 1.490, 1.420, 1.410, 1.320, 1.450, 1.320, 1.360, 1.450, 0, 0
2025,2025-09-29 00:00,1.365, 1.395, 1.490, 1.420, 1.410, 1.320, 1.450, 1.320, 1.360, 1.450, 0, 0

