YEAR,LDaySnow,FDaySnow,FValue,WL_cen_2,ex1,ex2
2011,2011-06-01 00:00,2011-10-11 02:00,0.927,0.958, 0, 0
2012,2012-06-01 00:00,2012-10-11 02:00,0.927,0.958, 0, 0
2013,2013-06-06 02:00,2013-10-01 02:00,0.869,0.958, 0, 0
2014,2014-06-01 02:00,2014-09-26 02:00,0.892,0.958, 0, 0
2015,2015-06-09 05:00,2015-09-24 05:00,0.879,0.958, 0, 0
2016,2016-06-09 05:00,2016-09-24 09:00,1.285,0.958,2016-07-21 07:30, 1.388
2017,2017-06-18 06:00,2017-09-19 02:00,1.250,1.363, 0, 0
2018,2018-06-06 00:00,2018-09-29 07:00,1.240,1.358, 0, 0
2019,2019-06-04 00:00,2019-09-29 00:00,1.210,1.358, 0, 0
2020,2020-06-02 09:00,2020-10-05 06:00,1.246,1.358, 0, 0
2021,2021-06-01 00:00,2021-09-29 00:00,1.200,1.358, 0, 0
2022,2022-06-01 00:00,2022-09-29 00:00,1.200,1.358, 0, 0
2023,2023-06-01 00:00,2023-09-29 00:00,1.200,1.358, 0, 0
2024,2024-06-01 00:00,2024-09-29 00:00,1.200,1.358, 0, 0
2025,2025-06-01 00:00,2025-09-29 00:00,1.200,1.358, 0, 0

