Raw;Lv0;O2A
TIMESTAMP;UTC;time
PTemp_C_Avg;Tpan_CR1000;SaSnow2012:Tpan
ChipTemp_SPA_Max;Tpan_SPA;SaSnow2012:spa:Tpan
S2_ice_Avg;ice_2;SaSnow2012:spa:s2:ice
S3_ice_Avg;ice_3;SaSnow2012:spa:s3:ice
S4_ice_Avg;ice_4;SaSnow2012:spa:s4:ice
S2_water_Avg;water_2;SaSnow2012:spa:s2:water
S3_water_Avg;water_3;SaSnow2012:spa:s3:water
S4_water_Avg;water_4;SaSnow2012:spa:s4:water
S2_rho_Avg;rho_2;SaSnow2012:spa:s2:rho
S3_rho_Avg;rho_3;SaSnow2012:spa:s3:rho
S4_rho_Avg;rho_4;SaSnow2012:spa:s4:rho
S2_C_highFq_Avg;cap_highFq_2;SaSnow2012:spa:s2:cap_highFq
S2_C_lowFq_Avg;cap_lowFq_2;SaSnow2012:spa:s2:cap_lowFq
S3_C_highFq_Avg;cap_highFq_3;SaSnow2012:spa:s3:cap_highFq
S3_C_lowFq_Avg;cap_lowFq_3;SaSnow2012:spa:s3:cap_lowFq
S4_C_highFq_Avg;cap_highFq_4;SaSnow2012:spa:s4:cap_highFq
S4_C_lowFq_Avg;cap_lowFq_4;SaSnow2012:spa:s4:cap_lowFq
S2_Phi_highFq_Avg;phi_highFq_2;SaSnow2012:spa:s2:phi_highFq
S2_Phi_lowFq_Avg;phi_lowFq_2;SaSnow2012:spa:s2:phi_lowFq
S3_Phi_highFq_Avg;phi_highFq_3;SaSnow2012:spa:s3:phi_highFq
S3_Phi_lowFq_Avg;phi_lowFq_3;SaSnow2012:spa:s3:phi_lowFq
S4_Phi_highFq_Avg;phi_highFq_4;SaSnow2012:spa:s4:phi_highFq
S4_Phi_lowFq_Avg;phi_lowFq_4;SaSnow2012:spa:s4:phi_lowFq
Temp_Corr_Distance_0_Avg;distcor_0;SaSnow2012:SR50A_0:distcor
Temp_Corr_Distance_1_Avg;distcor_1;SaSnow2012:SR50A_1:distcor
Temp_Corr_Distance_2_Avg;distcor_2;SaSnow2012:SR50A_2:distcor
Temp_Corr_Distance_3_Avg;distcor_3;SaSnow2012:SR50A_3:distcor
Temp_Corr_Distance_4_Avg;distcor_4;SaSnow2012:SR50A_4:distcor
Temp_Corr_Distance_5_Avg;distcor_5;SaSnow2012:SR50A_5:distcor
Temp_Corr_Distance_6_Avg;distcor_6;SaSnow2012:SR50A_6:distcor
Temp_Corr_Distance_7_Avg;distcor_7;SaSnow2012:SR50A_7:distcor
Temp_Corr_Distance_8_Avg;distcor_8;SaSnow2012:SR50A_8:distcor
Temp_Corr_Distance_9_Avg;distcor_9;SaSnow2012:SR50A_9:distcor
Temp_Corr_Distance_Centre_Avg;distcor_Centre;SaSnow2012:SR50A_centre:distcor
Temp_Corr_Distance_Crack_Avg;distcor_Crack;SaSnow2012:SR50A_crack:distcor
Raw_Distance_0_Avg;distraw_0;SaSnow2012:SR50A_0:distraw
Raw_Distance_1_Avg;distraw_1;SaSnow2012:SR50A_1:distraw
Raw_Distance_2_Avg;distraw_2;SaSnow2012:SR50A_2:distraw
Raw_Distance_3_Avg;distraw_3;SaSnow2012:SR50A_3:distraw
Raw_Distance_4_Avg;distraw_4;SaSnow2012:SR50A_4:distraw
Raw_Distance_5_Avg;distraw_5;SaSnow2012:SR50A_5:distraw
Raw_Distance_6_Avg;distraw_6;SaSnow2012:SR50A_6:distraw
Raw_Distance_7_Avg;distraw_7;SaSnow2012:SR50A_7:distraw
Raw_Distance_8_Avg;distraw_8;SaSnow2012:SR50A_8:distraw
Raw_Distance_9_Avg;distraw_9;SaSnow2012:SR50A_9:distraw
Raw_Distance_Centre_Avg;distraw_Centre;SaSnow2012:SR50A_centre:distraw
Raw_Distance_Crack_Avg;distraw_Crack;SaSnow2012:SR50A_crack:distraw
QA_Distance_0_Avg;QA_dist_0;SaSnow2012:SR50A_0:snowsq
QA_Distance_1_Avg;QA_dist_1;SaSnow2012:SR50A_1:snowsq
QA_Distance_2_Avg;QA_dist_2;SaSnow2012:SR50A_2:snowsq
