Raw;Lv0;O2A
TIMESTAMP;UTC;time
Panel_temp_Avg;Tpan_CR3000;SaSoil2012:Tpan
batt_volt_Avg;Ubat;SaSoil2012:Vbat
T107_Avg;Tair_70;sasoil2012:t107_1:Tair_70
ST01_Avg(9);Ts_cen_5;SaSoil2012:st01_c:Ts_cen_5
ST01_Avg(10);Ts_cen_15;SaSoil2012:st01_c:Ts_cen_15
ST01_Avg(11);Ts_cen_28;SaSoil2012:st01_c:Ts_cen_28
ST01_Avg(12);Ts_cen_45;SaSoil2012:st01_c:Ts_cen_45
ST01_Avg(13);Ts_cen_52;SaSoil2012:st01_c:Ts_cen_52
ST01_Avg(14);Ts_cen_72;SaSoil2012:st01_c:Ts_cen_72
ST01_Avg(15);Ts_cen_90;SaSoil2012:st01_c:Ts_cen_90
ST01_Avg(16);Ts_cen_100;SaSoil2012:st01_c:Ts_cen_100
ST01_Avg(1);Ts_rim_1;SaSoil2012:st01_r:Ts_rim_1
ST01_Avg(2);Ts_rim_7;SaSoil2012:st01_r:Ts_rim_7
ST01_Avg(3);Ts_rim_22;SaSoil2012:st01_r:Ts_rim_22
ST01_Avg(4);Ts_rim_38;SaSoil2012:st01_r:Ts_rim_38
ST01_Avg(5);Ts_rim_52;SaSoil2012:st01_r:Ts_rim_52
ST01_Avg(6);Ts_rim_69;SaSoil2012:st01_r:Ts_rim_69
ST01_Avg(7);Ts_rim_95;SaSoil2012:st01_r:Ts_rim_95
ST01_Avg(8);Ts_rim_104;SaSoil2012:st01_r:Ts_rim_104
CM3Up_Avg(2);SwIn_cen;sasoil2012:nr01_cen:SwIn
CM3Up_Avg(1);SwIn_rim;sasoil2012:nr01_rim:SwIn
CM3Dn_Avg(2);SwOut_cen;sasoil2012:nr01_cen:SwOut
CM3Dn_Avg(1);SwOut_rim;sasoil2012:nr01_rim:SwOut
NR01_2_Avg(1);SwIn_cen_mV;sasoil2012:nr01_cen:SwIn_mV
NR01_1_Avg(1);SwIn_rim_mV;sasoil2012:nr01_rim:SwIn_mV
NR01_2_Avg(2);SwOut_cen_mV;sasoil2012:nr01_cen:SwOut_mV
NR01_1_Avg(2);SwOut_rim_mV;sasoil2012:nr01_rim:SwOut_mV
CG3UpCo_Avg(2);LwIn_cen;sasoil2012:nr01_cen:LwIn
CG3UpCo_Avg(1);LwIn_rim;sasoil2012:nr01_rim:LwIn
CG3DnCo_Avg(2);LwOut_cen;sasoil2012:nr01_cen:LwOut
CG3DnCo_Avg(1);LwOut_rim;sasoil2012:nr01_rim:LwOut
CG3Up_Avg(2);LwIn_cen_raw;sasoil2012:nr01_cen:LwIn_raw
CG3Up_Avg(1);LwIn_rim_raw;sasoil2012:nr01_rim:LwIn_raw
CG3Dn_Avg(2);LwOut_cen_raw;sasoil2012:nr01_cen:LwOut_raw
CG3Dn_Avg(1);LwOut_rim_raw;sasoil2012:nr01_rim:LwOut_raw
NR01_2_Avg(3);LwIn_cen_mV;sasoil2012:nr01_cen:LwIn_mV
NR01_1_Avg(3);LwIn_rim_mV;sasoil2012:nr01_rim:LwIn_mV
NR01_2_Avg(4);LwOut_cen_mV;sasoil2012:nr01_cen:LwOut_mV
NR01_1_Avg(4);LwOut_rim_mV;sasoil2012:nr01_rim:LwOut_mV
NR01TC_Avg(2);Tsen_NR01_cen;sasoil2012:nr01_cen:Tpan_C
NR01TC_Avg(1);Tsen_NR01_rim;sasoil2012:nr01_rim:Tpan_C
HFP01(2);G_cen_13;SaSoil2012:HFP01_C:G_cen_13
HFP01(1);G_cen_95;SaSoil2012:HFP01_C:G_cen_95
HFP01(4);G_rim_13;SaSoil2012:HFP01_R:G_rim_13
HFP01(3);G_rim_98;SaSoil2012:HFP01_R:G_rim_98
;Dsn;SaSoil2012:SR50A:Dsn
TCo_Dist;distcor;SaSoil2012:SR50A:distcor
Raw_Dist;distraw;SaSoil2012:SR50A:distraw
QA_Dist;SQsn;SaSoil2012:SR50A:snowsq
;WT_cen_1;SaSoil2012:TDR100:cen_v_16:WT
;WT_cen_2;SaSoil2012:SR50A:WT
;WT_rim_1;SaSoil2012:TDR100:rim_v_22:WT
LaL(7);E2_sn_5;SaSoil2012:TDR100:sn_5:E2
LaL(6);E2_sn_20;SaSoil2012:TDR100:sn_20:E2
