YEAR,LDaySnow,Dsn_0,Dsn_1,Dsn_2,Dsn_3,Dsn_4,Dsn_5,Dsn_6,Dsn_7,Dsn_8,Dsn_9,ex1,ex2
2011,2011-09-15 00:00,1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 0, 0
2012,2012-09-15 00:00,1.335, 1.360, 1.415, 1.000, 1.260, 1.185, 1.360, 1.205, 1.340, 1.000, 0, 0
2013,2013-08-30 00:00,1.335, 1.360, 1.415, 1.325, 1.250, 1.185, 1.365, 1.205, 1.355, 1.420, 0, 0
2014,2014-06-30 00:00,1.335, 1.355, 1.425, 1.325, 1.250, 1.200, 1.365, 1.225, 1.370, 1.415, 0, 0
2015,2015-06-30 00:00,1.270, 1.325, 1.400, 1.320, 1.255, 1.215, 1.375, 1.235, 1.375, 1.405, 0, 0
2016,2016-06-30 00:00,1.320, 1.360, 1.415, 1.350, 1.300, 1.235, 1.360, 1.245, 1.390, 1.440, 0, 0
2017,2017-06-30 00:00,1.335, 1.370, 1.390, 1.350, 1.290, 1.240, 1.420, 1.250, 1.380, 1.435, 0, 0
2018,2018-06-30 00:00,1.340, 1.380, 1.415, 1.350, 1.320, 1.270, 1.440, 1.285, 1.375, 1.425, 0, 0
2019,2019-06-30 00:00,1.340, 1.380, 1.415, 1.350, 1.320, 1.270, 1.440, 1.285, 1.375, 1.425, 0, 0
2020,2020-06-30 00:00,1.340, 1.380, 1.415, 1.350, 1.320, 1.270, 1.440, 1.285, 1.375, 1.425, 0, 0
2021,2021-06-30 00:00,1.340, 1.380, 1.415, 1.350, 1.320, 1.270, 1.440, 1.285, 1.375, 1.425, 0, 0

