"station","dataset","variable","begin","end","check3","controller3"
"Bayelva","BaMet1998","Tair_200","1998","2019","2019-11-11 15:30:45","SL"
"Bayelva","BaMet1998","prec","1998","2009","2021-02-18 11:53:50","SL"
"Bayelva","BaMet1998","RH_200","1998","2009","2021-02-18 11:53:50","SL"
"Bayelva","BaMet1998","Dsn","1998","2009","2021-02-18 11:53:50","SL"
"Bayelva","BaMet1998","RadNet","1998","2009","2021-02-18 11:53:50","SL"
"Bayelva","BaMet1998","SwIn","1998","2009","2021-02-18 11:53:50","SL"
"Bayelva","BaMet1998","LwOut","1998","2009","2021-02-18 11:53:50","SL"
"Bayelva","BaMet1998","wind_v_200","1998","2009","2021-02-18 11:53:50","SL"
"Bayelva","BaMet1998","wind_deg_200","1998","2009","2021-02-18 11:53:50","SL"
"Bayelva","BaMet1998","wind_sddeg_200","1998","2009","2021-02-18 11:53:50","SL"
"Bayelva","BaMet1998","Tair_5","1998","2009","2021-02-18 11:53:50","SL"
"Bayelva","BaMet1998","Tair_20","1998","2009","2021-02-18 11:53:50","SL"
"Bayelva","BaMet1998","Tair_35","1998","2009","2021-02-18 11:53:50","SL"
"Bayelva","BaMet1998","Tair_48","1998","2009","2021-02-18 11:53:50","SL"
"Bayelva","BaMet1998","Tair_100","1998","2009","2021-02-18 11:53:50","SL"
"Bayelva","BaMet1998","Ts_252_2","1998","2009","2021-02-18 11:53:50","SL"
"Bayelva","BaMet1998","Ts_252_12","1998","2009","2021-02-18 11:53:50","SL"
"Bayelva","BaMet1998","Ts_252_32","1998","2009","2021-02-18 11:53:50","SL"
"Bayelva","BaMet1998","Ts_252_62","1998","2009","2021-02-18 11:53:50","SL"
"Bayelva","BaMet1998","Ts_252_102","1998","2009","2021-02-18 11:53:50","SL"
"Bayelva","BaMet1998","Ts_252_152","1998","2009","2021-02-18 11:53:50","SL"
"Bayelva","BaMet1998","Ts_203_2","1998","2009","2021-02-18 11:53:50","SL"
"Bayelva","BaMet1998","Ts_203_5","1998","2009","2021-02-18 11:53:50","SL"
"Bayelva","BaMet1998","Ts_203_23","1998","2009","2021-02-18 11:53:50","SL"
"Bayelva","BaMet1998","Ts_203_53","1998","2009","2021-02-18 11:53:50","SL"
"Bayelva","BaMet1998","Ts_203_93","1998","2009","2021-02-18 11:53:50","SL"
"Bayelva","BaMet1998","Ts_203_143","1998","2009","2021-02-18 11:53:50","SL"
"Bayelva","BaMet1998","G_cen_18","1998","2009","2021-02-18 11:53:50","SL"
"Bayelva","BaMet1998","G_left_24","1998","2009","2021-02-18 11:53:50","SL"
"Bayelva","BaMet2009","Tair_4","2009","2020","2020-03-17 13:16:50","SL"
"Bayelva","BaMet2009","Tair_20","2009","2020","2020-03-17 13:17:00","SL"
"Bayelva","BaMet2009","Tair_100","2009","2020","2020-03-17 13:17:11","SL"
"Bayelva","BaMet2009","Tair_200","2009","2020","2020-03-17 13:17:25","SL"
"Bayelva","BaMet2009","RH_200","2009","2020","2020-03-17 13:17:39","SL"
"Bayelva","BaMet2009","wind_v_200","2009","2020","2020-03-17 13:17:51","SL"
"Bayelva","BaMet2009","wind_deg_200","2009","2020","2020-03-17 13:18:01","SL"
"Bayelva","BaMet2009","wind_sddeg_200","2009","2020","2020-03-17 13:18:08","SL"
"Bayelva","BaMet2009","wind_vmax_200","2009","2020","2020-03-17 13:18:20","SL"
"Bayelva","BaMet2009","wind_vmin_200","2009","2020","2020-03-17 13:18:29","SL"
"Bayelva","BaMet2009","prec","2009","2020","2020-03-17 13:18:44","SL"
"Bayelva","BaMet2009","Dsn","2009","2020","2020-03-17 13:18:55","SL"
"Bayelva","BaMet2009","Ts_252_2","2009","2020","2020-03-17 13:19:08","SL"
"Bayelva","BaMet2009","Ts_252_12","2009","2020","2020-03-17 13:19:24","SL"
"Bayelva","BaMet2009","Ts_252_32","2009","2020","2020-03-17 13:19:37","SL"
"Bayelva","BaMet2009","Ts_252_62","2009","2020","2020-03-17 13:19:45","SL"
"Bayelva","BaMet2009","Ts_252_102","2009","2020","2020-03-17 13:19:54","SL"
"Bayelva","BaMet2009","Ts_252_152","2009","2020","2020-03-17 13:20:06","SL"
"Bayelva","BaMet2009","Ts_203_2","2009","2020","2020-02-04 10:14:19","SL"
"Bayelva","BaMet2009","Ts_203_5","2009","2020","2020-02-04 10:14:32","SL"
"Bayelva","BaMet2009","Ts_203_23","2009","2020","2020-02-04 10:14:39","SL"
"Bayelva","BaMet2009","Ts_203_53","2009","2020","2020-03-17 13:20:33","SL"
"Bayelva","BaMet2009","Ts_203_93","2009","2020","2020-03-17 13:20:42","SL"
"Bayelva","BaMet2009","Ts_203_143","2009","2020","2020-03-17 13:20:52","SL"
"Bayelva","BaMet2009","SwIn","2009","2020","2020-02-04 10:15:31","SL"
"Bayelva","BaMet2009","SwOut","2009","2020","2020-02-04 10:15:43","SL"
"Bayelva","BaMet2009","LwIn","2009","2020","2020-02-04 10:17:55","SL"
"Bayelva","BaMet2009","LwOut","2009","2020","2020-02-04 10:18:07","SL"
"Bayelva","BaMet2009","SwNet","2009","2020","2020-02-04 10:20:56","SL"
"Bayelva","BaMet2009","LwNet","2009","2020","2020-02-04 10:20:45","SL"
"Bayelva","BaMet2009","Albedo","2009","2020","2020-02-04 10:21:13","SL"
"Bayelva","BaMet2009","RadNet","2009","2020","2020-02-04 10:21:13","SL"
"Bayelva","BaSoil1998","Ts_67_4","1998","2009","2021-02-18 11:53:50","SL"
"Bayelva","BaSoil1998","Ts_67_16","1998","2009","2021-02-18 11:53:50","SL"
"Bayelva","BaSoil1998","Ts_95_17","1998","2009","2021-02-18 11:53:50","SL"
"Bayelva","BaSoil1998","Ts_95_33","1998","2009","2021-02-18 11:53:50","SL"
"Bayelva","BaSoil1998","Ts_80_38","1998","2009","2021-02-18 11:53:50","SL"
"Bayelva","BaSoil1998","Ts_95_66","1998","2009","2021-02-18 11:53:50","SL"
"Bayelva","BaSoil1998","Ts_95_91","1998","2009","2021-02-18 11:53:50","SL"
"Bayelva","BaSoil1998","Ts_95_99","1998","2009","2021-02-18 11:53:50","SL"
"Bayelva","BaSoil1998","Ts_95_108","1998","2009","2021-02-18 11:53:50","SL"
"Bayelva","BaSoil1998","Ts_95_117_v","1998","2009","2021-02-18 11:53:50","SL"
"Bayelva","BaSoil1998","Ts_124_8","1998","2009","2021-02-18 11:53:50","SL"
"Bayelva","BaSoil1998","Ts_124_25","1998","2009","2021-02-18 11:53:50","SL"
"Bayelva","BaSoil1998","Ts_115_60","1998","2009","2021-02-18 11:53:50","SL"
