"station","dataset","variable","check1","controller1","check2","controller2"
"Samoylov","SaSoil2002","G_center",NA,NA,NA,NA
"Samoylov","SaSoil2002","G_rim",NA,NA,NA,NA
"Samoylov","SaSoil2002","Ts_center_1",NA,NA,NA,NA
"Samoylov","SaSoil2002","Ts_center_5",NA,NA,NA,NA
"Samoylov","SaSoil2002","Ts_center_10",NA,NA,NA,NA
"Samoylov","SaSoil2002","Ts_center_20",NA,NA,NA,NA
"Samoylov","SaSoil2002","Ts_center_30",NA,NA,NA,NA
"Samoylov","SaSoil2002","Ts_center_40",NA,NA,NA,NA
"Samoylov","SaSoil2002","Ts_slope_3",NA,NA,NA,NA
"Samoylov","SaSoil2002","Ts_slope_7",NA,NA,NA,NA
"Samoylov","SaSoil2002","Ts_slope_16",NA,NA,NA,NA
"Samoylov","SaSoil2002","Ts_slope_22",NA,NA,NA,NA
"Samoylov","SaSoil2002","Ts_slope_32",NA,NA,NA,NA
"Samoylov","SaSoil2002","Ts_slope_42",NA,NA,NA,NA
"Samoylov","SaSoil2002","Ts_rim_2",NA,NA,NA,NA
"Samoylov","SaSoil2002","Ts_rim_6",NA,NA,NA,NA
"Samoylov","SaSoil2002","Ts_rim_11",NA,NA,NA,NA
"Samoylov","SaSoil2002","Ts_rim_16",NA,NA,NA,NA
"Samoylov","SaSoil2002","Ts_rim_21",NA,NA,NA,NA
"Samoylov","SaSoil2002","Ts_rim_27",NA,NA,NA,NA
"Samoylov","SaSoil2002","Ts_rim_33",NA,NA,NA,NA
"Samoylov","SaSoil2002","Ts_rim_38",NA,NA,NA,NA
"Samoylov","SaSoil2002","Ts_rim_51",NA,NA,NA,NA
"Samoylov","SaSoil2002","Ts_rim_61",NA,NA,NA,NA
"Samoylov","SaSoil2002","Ts_rim_71",NA,NA,NA,NA
"Samoylov","SaSoil2002","Ts_icew_41",NA,NA,NA,NA
"Samoylov","SaSoil2002","Ts_icew_61",NA,NA,NA,NA
"Samoylov","SaSoil2002","Ts_icew_91",NA,NA,NA,NA
"Samoylov","SaSoil2002","Ts_icew_121",NA,NA,NA,NA
"Samoylov","SaSoil2002","Ts_icew_151",NA,NA,NA,NA
"Samoylov","SaSoil2002","Ts_icew_181",NA,NA,NA,NA
"Samoylov","SaSoil2002","Ts_icew_211",NA,NA,NA,NA
"Samoylov","SaSoil2002","Ts_icew_241",NA,NA,NA,NA
"Samoylov","SaSoil2002","Ts_icew_271",NA,NA,NA,NA
"Samoylov","SaSoil2002","Tgs",NA,NA,NA,NA
"Samoylov","SaSoil2002","Dsn",NA,NA,NA,NA
"Samoylov","SaSoil2002","E2_center_8",NA,NA,NA,NA
"Samoylov","SaSoil2002","E2_center_13",NA,NA,NA,NA
"Samoylov","SaSoil2002","E2_center_23",NA,NA,NA,NA
"Samoylov","SaSoil2002","E2_center_33",NA,NA,NA,NA
"Samoylov","SaSoil2002","E2_center_43",NA,NA,NA,NA
"Samoylov","SaSoil2002","E2_slope_5",NA,NA,NA,NA
"Samoylov","SaSoil2002","E2_slope_14",NA,NA,NA,NA
"Samoylov","SaSoil2002","E2_slope_23",NA,NA,NA,NA
"Samoylov","SaSoil2002","E2_slope_33",NA,NA,NA,NA
"Samoylov","SaSoil2002","E2_slope_43",NA,NA,NA,NA
"Samoylov","SaSoil2002","E2_rim_5",NA,NA,NA,NA
"Samoylov","SaSoil2002","E2_rim_12",NA,NA,NA,NA
"Samoylov","SaSoil2002","E2_rim_15",NA,NA,NA,NA
"Samoylov","SaSoil2002","E2_rim_22",NA,NA,NA,NA
"Samoylov","SaSoil2002","E2_rim_26",NA,NA,NA,NA
"Samoylov","SaSoil2002","E2_rim_34",NA,NA,NA,NA
"Samoylov","SaSoil2002","E2_rim_37",NA,NA,NA,NA
"Samoylov","SaSoil2002","E2_rim_50",NA,NA,NA,NA
"Samoylov","SaSoil2002","E2_rim_60",NA,NA,NA,NA
"Samoylov","SaSoil2002","E2_rim_70",NA,NA,NA,NA
"Samoylov","SaSoil2002","cond_center_8",NA,NA,NA,NA
"Samoylov","SaSoil2002","cond_center_13",NA,NA,NA,NA
"Samoylov","SaSoil2002","cond_center_23",NA,NA,NA,NA
"Samoylov","SaSoil2002","cond_center_33",NA,NA,NA,NA
"Samoylov","SaSoil2002","cond_center_43",NA,NA,NA,NA
"Samoylov","SaSoil2002","cond_slope_5",NA,NA,NA,NA
"Samoylov","SaSoil2002","cond_slope_14",NA,NA,NA,NA
"Samoylov","SaSoil2002","cond_slope_23",NA,NA,NA,NA
"Samoylov","SaSoil2002","cond_slope_33",NA,NA,NA,NA
"Samoylov","SaSoil2002","cond_slope_43",NA,NA,NA,NA
"Samoylov","SaSoil2002","cond_rim_5",NA,NA,NA,NA
"Samoylov","SaSoil2002","cond_rim_12",NA,NA,NA,NA
"Samoylov","SaSoil2002","cond_rim_15",NA,NA,NA,NA
"Samoylov","SaSoil2002","cond_rim_22",NA,NA,NA,NA
"Samoylov","SaSoil2002","cond_rim_26",NA,NA,NA,NA
"Samoylov","SaSoil2002","cond_rim_34",NA,NA,NA,NA
"Samoylov","SaSoil2002","cond_rim_37",NA,NA,NA,NA
"Samoylov","SaSoil2002","cond_rim_50",NA,NA,NA,NA
"Samoylov","SaSoil2002","cond_rim_60",NA,NA,NA,NA
"Samoylov","SaSoil2002","cond_rim_70",NA,NA,NA,NA
"Samoylov","SaSoil2002","vwc_center_8",NA,NA,NA,NA
"Samoylov","SaSoil2002","vwc_center_13",NA,NA,NA,NA
"Samoylov","SaSoil2002","vwc_center_23",NA,NA,NA,NA
"Samoylov","SaSoil2002","vwc_center_33",NA,NA,NA,NA
"Samoylov","SaSoil2002","vwc_center_43",NA,NA,NA,NA
"Samoylov","SaSoil2002","vwc_slope_5",NA,NA,NA,NA
"Samoylov","SaSoil2002","vwc_slope_14",NA,NA,NA,NA
"Samoylov","SaSoil2002","vwc_slope_23",NA,NA,NA,NA
"Samoylov","SaSoil2002","vwc_slope_33",NA,NA,NA,NA
