"from","to","dataset","variable","flag","flagging_date","flagged_by","comments"
"2014-08-07 09:00:00","2014-08-07 15:00:00","SaHole2006","Tair_0",3,"2017-11-01 12:00:00","NB",NA
"2014-08-07 09:00:00","2014-08-07 15:00:00","SaHole2006","Ts_75",3,"2017-11-01 12:00:00","NB",NA
"2014-08-07 09:00:00","2014-08-07 15:00:00","SaHole2006","Ts_175",3,"2017-11-01 12:00:00","NB",NA
"2014-08-07 09:00:00","2014-08-07 15:00:00","SaHole2006","Ts_275",3,"2017-11-01 12:00:00","NB",NA
"2014-08-07 09:00:00","2014-08-07 15:00:00","SaHole2006","Ts_375",3,"2017-11-01 12:00:00","NB",NA
"2014-08-07 09:00:00","2014-08-07 15:00:00","SaHole2006","Ts_475",3,"2017-11-01 12:00:00","NB",NA
"2014-08-07 09:00:00","2014-08-07 15:00:00","SaHole2006","Ts_575",3,"2017-11-01 12:00:00","NB",NA
"2014-08-07 09:00:00","2014-08-07 15:00:00","SaHole2006","Ts_675",3,"2017-11-01 12:00:00","NB",NA
"2014-08-07 09:00:00","2014-08-07 15:00:00","SaHole2006","Ts_775",3,"2017-11-01 12:00:00","NB",NA
"2014-08-07 09:00:00","2014-08-07 15:00:00","SaHole2006","Ts_875",3,"2017-11-01 12:00:00","NB",NA
"2014-08-07 09:00:00","2014-08-07 15:00:00","SaHole2006","Ts_975",3,"2017-11-01 12:00:00","NB",NA
"2014-08-07 09:00:00","2014-08-07 15:00:00","SaHole2006","Ts_1075",3,"2017-11-01 12:00:00","NB",NA
"2014-08-07 09:00:00","2014-08-07 15:00:00","SaHole2006","Ts_1175",3,"2017-11-01 12:00:00","NB",NA
"2014-08-07 09:00:00","2014-08-07 15:00:00","SaHole2006","Ts_1275",3,"2017-11-01 12:00:00","NB",NA
"2014-08-07 09:00:00","2014-08-07 15:00:00","SaHole2006","Ts_1375",3,"2017-11-01 12:00:00","NB",NA
"2014-08-07 09:00:00","2014-08-07 15:00:00","SaHole2006","Ts_1475",3,"2017-11-01 12:00:00","NB",NA
"2014-08-07 09:00:00","2014-08-07 15:00:00","SaHole2006","Ts_1575",3,"2017-11-01 12:00:00","NB",NA
"2014-08-07 09:00:00","2014-08-07 15:00:00","SaHole2006","Ts_1675",3,"2017-11-01 12:00:00","NB",NA
"2014-08-07 09:00:00","2014-08-07 15:00:00","SaHole2006","Ts_1775",3,"2017-11-01 12:00:00","NB",NA
"2014-08-07 09:00:00","2014-08-07 15:00:00","SaHole2006","Ts_1875",3,"2017-11-01 12:00:00","NB",NA
"2014-08-07 09:00:00","2014-08-07 15:00:00","SaHole2006","Ts_2075",3,"2017-11-01 12:00:00","NB",NA
"2014-08-07 09:00:00","2014-08-07 15:00:00","SaHole2006","Ts_2275",3,"2017-11-01 12:00:00","NB",NA
"2014-08-07 09:00:00","2014-08-07 15:00:00","SaHole2006","Ts_2475",3,"2017-11-01 12:00:00","NB",NA
