"from","to","dataset","variable","filtername","min","max","flag","flagging_date","flagged_by"
"2017-06-27 16:30:00","2017-07-12 14:00:00","SdHole2009","Ts_900","minmaxmanual",-25.340095579294,-6.6333003306252,6,"2017-11-07 14:35:21","SL"
"2017-04-25 13:00:00","2017-04-26 19:30:00","SdHole2009","Ts_200","minmaxmanual",-11.882815131557,-11.71558951815,6,"2018-01-29 17:16:12","NB"
"2016-12-27 12:30:00","2017-09-10 05:30:00","SdHole2009","Ts_900","minmaxmanual",-73.817375106774,-10.677324082456,6,"2019-11-12 11:19:40","SL"
"2017-06-13 11:30:00","2017-09-13 07:30:00","SdHole2009","Ts_2000","minmaxmanual",-61.134929921322,-11.912717602066,6,"2019-11-18 15:22:11","SL"
"2016-12-31 08:30:00","2017-09-10 07:30:00","SdHole2009","Ts_1100","minmaxmanual",-73.539405205946,-11.030389374063,6,"2019-11-18 15:24:15","SL"
"2017-07-14 22:00:00","2017-07-24 08:00:00","SdHole2009","Ts_80","minmaxmanual",-0.71207600538229,0.087301463586654,6,"2020-05-14 14:18:37","NB"
"2017-09-01 08:30:00","2017-09-04 15:30:00","SdHole2009","Ts_120","minmaxmanual",-1.2510678999957,-0.86810277769961,6,"2020-05-14 14:18:49","NB"
"2017-04-23 07:00:00","2017-04-27 13:30:00","SdHole2009","Ts_250","minmaxmanual",-11.687982120177,-11.27881710768,6,"2020-05-14 14:19:22","NB"
"2017-04-24 19:00:00","2017-04-28 19:30:00","SdHole2009","Ts_1300","minmaxmanual",-9.0758740467611,-9.0354898562979,6,"2020-05-14 14:20:49","NB"
"2017-09-22 16:30:00","2017-09-27 03:30:00","SdHole2009","Ts_1300","minmaxmanual",-9.4215487983164,-9.3752547263221,6,"2020-05-14 14:20:56","NB"
"2017-12-26 05:30:00","2017-12-29 07:30:00","SdHole2009","Ts_1300","minmaxmanual",-9.0827689085475,-9.0561744416571,6,"2020-05-14 14:21:03","NB"
"2017-12-23 12:00:00","2017-12-28 00:30:00","SdHole2009","Ts_1300","minmaxmanual",-9.1980115984057,-9.154672467177,6,"2020-05-14 14:21:10","NB"
"2017-12-19 02:30:00","2018-01-04 17:30:00","SdHole2009","Ts_1500","minmaxmanual",-9.4593389014787,-9.43130012777,6,"2020-05-14 14:21:22","NB"
"2017-12-21 22:00:00","2018-01-02 13:30:00","SdHole2009","Ts_1500","minmaxmanual",-9.3226498796486,-9.3024970110455,6,"2020-05-14 14:21:26","NB"
"2017-09-20 11:30:00","2017-09-30 02:30:00","SdHole2009","Ts_1500","minmaxmanual",-9.4286714927348,-9.3866133321717,6,"2020-05-14 14:21:30","NB"
"2017-12-26 05:00:00","2017-12-28 05:30:00","SdHole2009","Ts_5000","minmaxmanual",-10.264120504683,-10.179919975286,6,"2020-05-14 14:22:10","NB"
"2017-12-26 11:00:00","2017-12-28 13:30:00","SdHole2009","Ts_6000","minmaxmanual",-10.345882144934,-10.268361448713,6,"2020-05-14 14:22:23","NB"
"2017-04-22 13:30:00","2017-04-27 15:00:00","SdHole2009","Ts_6000","minmaxmanual",-10.357215372381,-10.345938569393,6,"2020-05-14 14:22:34","NB"
"2017-04-21 13:30:00","2017-04-28 20:30:00","SdHole2009","Ts_7000","minmaxmanual",-10.270062034821,-10.239414355631,6,"2020-05-14 16:40:53","NB"
"2017-12-26 20:00:00","2017-12-28 19:30:00","SdHole2009","Ts_7000","minmaxmanual",-10.380545368428,-10.316542608297,6,"2020-05-14 16:41:08","NB"
"2017-12-26 02:00:00","2017-12-27 22:00:00","SdHole2009","Ts_7000","minmaxmanual",-10.21735706235,-10.214543754212,6,"2020-05-14 16:41:19","NB"
"2017-12-26 17:30:00","2017-12-28 10:00:00","SdHole2009","Ts_9000","minmaxmanual",-10.104618297986,-10.018873986533,6,"2020-05-14 16:41:44","NB"
"2017-12-26 02:30:00","2017-12-29 04:00:00","SdHole2009","Ts_10000","minmaxmanual",-10.217939289854,-10.178374710778,6,"2020-05-14 16:41:59","NB"
