"from","to","dataset","variable","flag","flagging_date","flagged_by","comments"
"2021-08-31 00:00","2021-09-01 23:00","SaSnow2012","Dsn_0","3","2021-10-06 08:15:49","SL","reassign sensor"
"2021-08-31 00:00","2021-09-01 23:00","SaSnow2012","Dsn_1","3","2021-10-06 08:15:49","SL","reassign sensor"
"2021-08-31 00:00","2021-09-01 23:00","SaSnow2012","Dsn_2","3","2021-10-06 08:15:49","SL","reassign sensor"
"2021-08-31 00:00","2021-09-01 23:00","SaSnow2012","Dsn_3","3","2021-10-06 08:15:49","SL","reassign sensor"
"2021-08-31 00:00","2021-09-01 23:00","SaSnow2012","Dsn_4","3","2021-10-06 08:15:49","SL","reassign sensor"
"2021-08-31 00:00","2021-09-01 23:00","SaSnow2012","Dsn_5","3","2021-10-06 08:15:49","SL","reassign sensor"
"2021-08-31 00:00","2021-09-01 23:00","SaSnow2012","Dsn_6","3","2021-10-06 08:15:49","SL","reassign sensor"
"2021-08-31 00:00","2021-09-01 23:00","SaSnow2012","Dsn_7","3","2021-10-06 08:15:49","SL","reassign sensor"
"2021-08-31 00:00","2021-09-01 23:00","SaSnow2012","Dsn_8","3","2021-10-06 08:15:49","SL","reassign sensor"
"2021-08-31 00:00","2021-09-01 23:00","SaSnow2012","Dsn_9","3","2021-10-06 08:15:49","SL","reassign sensor"
