variable,category,unit,dataset,pp1,pp2,pp3,pp4,pp5,pp6,comments
Temperature Air,Tair,Degree C,all,5,1,0.1,3,3,24,
Precipitation,prec,mm,all,100,100,0,1,100,100,
Relative humidity,RH,%,all,18,10,0.1,8,3,100,
Snow depth,Dsn,m,all,0.15,0.02,0.01,2,3,48,
Radiation net all,RadNet,W/m^2,all,200,40,1,6,3,12,
Radiation short wave in,SwIn,W/m^2,all,500,40,1,3,3,100,
Radiation short wave out,SwOut,W/m^2,all,500,40,1,3,3,100,
Radiation long wave in,LwIn,W/m^2,all,100,40,1,8,3,12,
Radiation long wave out,LwOut,W/m^2,all,100,40,1,8,3,12,
Wind speed,windv,m/s,all,8,5,0.1,4,3,100,
Wind direction,winddeg,Degree,all,360,360,0,6,100,100,
Wind direction standard deviation,windsddeg,Degree,all,360,360,0,6,100,100,
Electric conductivity,cond,S/m,all,0.003,0.002,0.001,48,3,12,
Dielectricity,E2,,all,2,0.25,0.01,48,3,6,
Dielectricity snow,E2sn,,all,2,0.1,0.01,48,3,12,
Soil heat flux,G,W/m^2,all,16,1,0.1,10,3,48,
Radiation shortwave net,SwNet,W/m^2,all,500,40,1,3,3,100,
Radiation longwave net,LwNet,W/m^2,all,100,40,1,8,3,12,
Radiation Albedo,Albedo,,all,0.1,0.03,0.01,6,3,12,
Distance temperature correction,distcor,m,all,0.15,0.03,0.01,4,3,12,
Counts Gamma radiation K,CountsK,,all,2000,40,1,3,3,100,
Counts Gamma radiation TL,CountsTl,,all,500,40,1,3,3,100,
Snow water equivalent,SWE,mm,all,500,40,1,3,3,100,
Operating temperature crystal ,Tcryst,Degree C,all,4,0.2,0.1,8,3,48,
Temperature Soil,Ts,Degree C,all,4,0.2,0.1,8,3,48,
Temperature water,Tw,Degree C,all,4,0.2,0.1,8,3,48,
Volumetric water content,vwc,%,all,0.05,0.02,0.01,48,3,12,
Distance raw,distraw,m,all,0.15,0.03,0.01,4,3,12,
Distance corrected,distcor,m,all,0.15,0.03,0.01,4,3,12,
Water table,WT,Degree C,all,100,100,0,1,100,100,
Water table change,WTch,Degree C,all,100,100,0,1,100,100,
Water level,WL,Degree C,all,100,100,0,1,100,100,
Discharge,Q,l/s,all,100,40,1,8,3,12,
Dielectricity,E2,,SaSoil2002,3,0.25,0.01,48,5,6,
Soil heat flux,G,W/m^2,SaSoil2002,50,1,0.1,10,3,48,
Temperature ground surface,Tgs,Degree C,SaSoil2002,5,1,0.1,4,3,24,
Electric conductivity,cond,S/m,SaSoil2002,0.0015,0.001,0.0005,8,3,12,
Electric conductivity,cond,S/m,SaSoil2012,0.3,0.2,0.1,12,3,12,
Dielectricity snow,E2sn,,SaSoil2012,5,1,0.1,3,3,24,
Dielectricity,E2,,SaSoil1998,13,1,0.01,48,5,6,
Soil heat flux,G,W/m^2,SaSoil1998,50,1,0.1,10,3,48,
Dielectricity snow,E2sn,,SaSoil1998,13,1,0.1,3,3,24,
Snow depth,Dsn,m,SaMet1998,5,1,0.1,3,3,24,
Active layer depth,Dal,cm,SaCalm2002,5,1,0.1,3,3,24,
