"position","date_freez","row_nr_freez","theta_tot","theta_tot_prior"
"E2_80_1",1999-09-21 11:00:00,6492,0.278838591725926,0.28
"E2_90_16",1999-09-22 13:00:00,6518,0.346832746786118,0.35
"E2_90_32",1999-09-24 05:00:00,6558,0.322977355883262,0.32
"E2_85_39",1999-10-28 16:00:00,7385,0.296176810344591,0.3
"E2_90_66",1999-12-07 20:00:00,8349,0.295261682488388,0.3
"E2_90_90",1999-11-20 18:00:00,7939,0.236594530026379,0.24
"E2_95_99",1999-09-21 06:00:00,6487,0.255023575239809,0.26
"E2_95_113",1999-09-13 11:00:00,6300,0.18,0.18
"E2_95_120_v",1999-09-13 11:00:00,6300,0.21,0.21
"E2_114_6",1999-09-19 21:00:00,6454,0.318077787549365,0.32
"E2_115_22",1999-09-24 14:00:00,6567,0.32264418541689,0.32
"E2_110_59",1999-09-24 16:00:00,6569,0.355506276536922,0.36
"E2_140_6",1999-09-20 06:00:00,6463,0.318759183526311,0.32
"E2_140_23",1999-09-20 20:00:00,6477,0.296206567324022,0.3
"E2_140_39",1999-09-25 11:00:00,6588,0.301881316061261,0.3
"E2_140_62",1999-09-23 19:00:00,6548,0.331205605041713,0.33
"E2_146_76",1999-09-26 06:00:00,6607,0.388717213234088,0.39
"E2_140_98",1999-09-22 15:00:00,6520,0.331379109711662,0.33
"E2_135_112",1999-09-13 11:00:00,6300,0.17,0.17
"E2_135_127_v",1999-09-13 11:00:00,6300,0.25,0.25
"E2_174_8",1999-09-24 03:00:00,6556,0.31230888838403,0.31
"E2_172_20",1999-09-26 03:00:00,6604,0.314484851020736,0.31
"E2_180_54",1999-09-26 11:00:00,6612,0.333061865598233,0.33
"E2_204_5",1999-09-21 11:00:00,6492,0.396678957813209,0.4
"E2_200_13",1999-09-13 11:00:00,6300,0.05,0.05
"E2_200_31",1999-10-29 19:00:00,7412,0.281274226881524,0.28
"E2_205_51",1999-09-25 05:00:00,6582,0.359913595138425,0.36
"E2_200_61",1999-09-23 22:00:00,6551,0.37984460683306,0.38
"E2_200_90",1999-09-24 14:00:00,6567,0.241726382854872,0.25
"E2_200_114",1999-09-13 11:00:00,6300,0.22,0.22
"E2_200_121_v",1999-09-13 11:00:00,6300,0.2,0.2
