dataset,sparc_dataset,variable_category,variable_not_used,wikiplot_name,legend_name
BaHole2009,BaHole2009,Ts,,BaHole2009_moustache,BaHole2009_Ts
BaHole2009,BaHole2009,,Ts,BaHole2009_trompete,BaHole2009_Ts_mean
BaHole2015,BaHole2015,Ts,,BaHole2015_moustache,BaHole2015_Ts
BaHole2015,BaHole2015,,Ts,BaHole2015_trompete,BaHole2015_Ts_mean
BaMet2009,BaMet2009,Albedo,,BaMet2009_albedo,BaMet2009_albedo
BaMet2009,BaMet2009,RH200,,BaMet2009_hum,BaMet2009_hum
BaMet2009,BaMet2009,prec,,BaMet2009_prec,BaMet2009_prec
BaMet2009,BaMet2009,SwNet,,BaMet2009_rad_gl,BaMet2009_rad_gl
BaMet2009,BaMet2009,LwOut,,BaMet2009_rad_lw,BaMet2009_rad_lw
BaMet2009,BaMet2009,LwIn,,BaMet2009_rad_lw,BaMet2009_rad_lw
BaMet2009,BaMet2009,,LwNet,BaMet2009_rad_net,BaMet2009_rad_net
BaMet2009,BaMet2009,RadNet,,BaMet2009_rad_net,BaMet2009_rad_net
BaMet2009,BaMet2009,,SwNet,BaMet2009_rad_net,BaMet2009_rad_net
BaMet2009,BaMet2009,SwOut,,BaMet2009_rad_sw,BaMet2009_rad_sw
BaMet2009,BaMet2009,SwIn,,BaMet2009_rad_sw,BaMet2009_rad_sw
BaMet2009,BaMet2009,Tair_100,,BaMet2009_Tair100,BaMet2009_Tair100
BaMet2009,BaMet2009,Tair_200,,BaMet2009_Tair200,BaMet2009_Tair200
BaMet2009,BaMet2009,Ts_203,,BaMet2009_Ts_203,BaMet2009_Ts_2
BaMet2009,BaMet2009,Ts_252,,BaMet2009_Ts_253,BaMet2009_Ts_1
BaMet2009,BaMet2009,Tair_20,,BaMet2009_Tsn,BaMet2009_Tsn
BaMet2009,BaMet2009,Tair_5,,BaMet2009_Tsn,BaMet2009_Tsn
BaMet2009,BaMet2009,Tair_4,,BaMet2009_Tsn,BaMet2009_Tsn
BaMet2009,BaMet2009,,,BaMet2009_Tsurf,BaMet2009_Tsurf
BaMet2009,BaMet2009,,,BaMet2009_Tsurf_diff,BaMet2009_Tsurf_diff
BaMet2009,BaMet2009,wind,,BaMet2009_wind,BaMet2009_wind
BaMet2009,BaMet2009,,,BaMet2009_wrose,BaMet2009_wrose
BaMet2009,BaMet2009,,,BaMet2009_wrose_monthly,BaMet2009_wrose_monthly
BaMet2009,BaMet2009,Dsn,,BaSnow_compare,BaSnow2013_compare
BaSnow2013,BaSnow2013,Dsn,,BaSnow_compare,BaSnow2013_compare
BaSnow2013,BaSnow2013,,,BaSnow_product,BaSnow2013_product
BaSnow2019cs,BaSnow2019cs,,,BaSnow2019cs_product,BaSnow2019cs_product
BaSnow2019cs,BaSnow2019cs,SWE,,BaSnow2019cs_swe,BaSnow2019cs_swe
BaSoil2009,BaSoil2009,E2_sn,,BaSoil2009_snow_diel,BaSoil2009_snow_diel
BaSoil2009,BaSoil2009,Cond,,BaSoil2009_tdr_cond,BaSoil2009_tdr_cond
BaSoil2009,BaSoil2009,cond,,BaSoil2009_tdr_cond,BaSoil2009_tdr_cond
BaSoil2009,BaSoil2009,E2_h,,BaSoil2009_tdr_diel,BaSoil2009_tdr_diel
BaSoil2009,BaSoil2009,vwc,,BaSoil2009_tdr_vwc,BaSoil2009_tdr_vwc
BaSoil2009,BaSoil2009,Ts,,BaSoil2009_Ts,BaSoil2009_Ts
BaSoil2017,BaSoil2017,G,,BaSoil2017_heatflux,BaSoil2017_heatflux
met,BaMet2009,RH200,,BaMet2009_hum,BaMet2009_hum
met,BaMet2009,prec,,BaMet2009_prec,BaMet2009_prec
met,BaMet2009,LwOut,,BaMet2009_rad_lw,BaMet2009_rad_lw
met,BaMet2009,LwIn,,BaMet2009_rad_lw,BaMet2009_rad_lw
met,BaMet2009,RadNet,,BaMet2009_rad_net,BaMet2009_rad_net
met,BaMet2009,SwOut,,BaMet2009_rad_sw,BaMet2009_rad_sw
met,BaMet2009,SwIn,,BaMet2009_rad_sw,BaMet2009_rad_sw
met,BaMet2009,Tair_100,,BaMet2009_Tair100,BaMet2009_Tair100
met,BaMet2009,Tair_200,,BaMet2009_Tair200,BaMet2009_Tair200
met,BaMet2009,Tair_20,,BaMet2009_Tsn,BaMet2009_Tsn
met,BaMet2009,Tair_5,,BaMet2009_Tsn,BaMet2009_Tsn
met,BaMet2009,wind,,BaMet2009_wind,BaMet2009_wind
met,BaSoil2009,E2_sn,,BaSoil2009_snow_diel,BaSoil2009_snow_diel
met,BaMet2009,Dsn_a,,BaSnow_compare,BaSnow2013_compare
met,BaSnow2013,Dsn_b,,BaSnow_compare,BaSnow2013_compare
SaHole2006,SaHole2006,,,SaHole2006_temperature,SaHole2006_temperature
SaHole2006,SaHole2006,,,SaHole2006_trompete,SaHole2006_trompete
